"Time (s)"	"Gyroscope x (rad/s)"	"Gyroscope y (rad/s)"	"Gyroscope z (rad/s)"
2.100622897E0	-1.070388675E0	-3.248275816E-1	-4.221078753E-1
2.110622897E0	-9.902125597E-1	-3.373503387E-1	-4.338670373E-1
2.120622897E0	-9.063712955E-1	-3.462078869E-1	-4.444044530E-1
2.130622897E0	-8.384125233E-1	-3.538436890E-1	-4.511239827E-1
2.140622897E0	-7.557930350E-1	-3.627012372E-1	-4.592179358E-1
2.150622897E0	-6.695083380E-1	-3.617849350E-1	-4.660901725E-1
2.160622897E0	-5.832235813E-1	-3.559817076E-1	-4.731151462E-1
2.170622897E0	-4.969388843E-1	-3.466660380E-1	-4.763221741E-1
2.180622897E0	-4.056145251E-1	-3.287982047E-1	-4.796819389E-1
2.190622897E0	-3.291036487E-1	-3.095559776E-1	-4.827362597E-1
2.200622897E0	-2.365575731E-1	-2.796235681E-1	-4.848742783E-1
2.210622897E0	-1.415680200E-1	-2.422080636E-1	-4.870123267E-1
2.220622897E0	-3.817907721E-2	-1.951714456E-1	-4.879286289E-1
2.230622897E0	6.536258012E-2	-1.518000066E-1	-4.888449013E-1
2.240622897E0	1.773036420E-1	-1.072068512E-1	-4.886921942E-1
2.250622897E0	2.674062550E-1	-7.345654815E-2	-4.859432876E-1
2.260622897E0	3.746131063E-1	-3.985895589E-2	-4.807509482E-1
2.270622897E0	4.744895697E-1	-7.330383174E-3	-4.706716835E-1
2.280622897E0	5.635231733E-1	2.641992271E-2	-4.593706727E-1
2.290622897E0	6.462954283E-1	5.406157300E-2	-4.479169548E-1
2.300622897E0	7.328855991E-1	8.292495459E-2	-4.327980280E-1
2.310622897E0	8.084801435E-1	1.178969890E-1	-4.213443100E-1
2.320622897E0	9.072875977E-1	1.698205322E-1	-4.039346576E-1
2.330622897E0	1.009760261E0	2.315179259E-1	-3.840815127E-1
2.340622897E0	1.112232924E0	2.871066630E-1	-3.631593883E-1
2.350622897E0	1.214705586E0	3.437644243E-1	-3.371976018E-1
2.360622897E0	1.313665748E0	4.030183554E-1	-3.112358451E-1
2.370622897E0	1.389260292E0	4.465425014E-1	-2.900082767E-1
2.380622897E0	1.479668379E0	4.961752892E-1	-2.603813112E-1
2.390622897E0	1.567632914E0	5.419901609E-1	-2.270891517E-1
2.400622897E0	1.654375792E0	5.890268087E-1	-1.899790913E-1
2.410622897E0	1.743562102E0	6.349944472E-1	-1.518000066E-1
2.420622897E0	1.830304980E0	6.760751009E-1	-1.110247597E-1
2.430622897E0	1.896431208E0	7.012733221E-1	-7.880161703E-2
2.440622897E0	1.979508877E0	7.325801253E-1	-3.436116874E-2
2.450622897E0	2.052965403E0	7.553348541E-1	1.252273750E-2
2.460622897E0	2.122603893E0	7.733554244E-1	6.078109145E-2
2.470622897E0	2.191173553E0	7.924449444E-1	1.076650023E-1
2.480622897E0	2.247525930E0	8.008443117E-1	1.585195363E-1
2.490622897E0	2.289217472E0	8.042041063E-1	1.971567571E-1
2.500622897E0	2.338239431E0	7.991644740E-1	2.466368377E-1
2.510622897E0	2.379930973E0	7.941248417E-1	2.964223623E-1
